"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-43","s-53","s-83","s-93"
"14","KIF26B",1067.48187590767,-5.32433406014554,0.279751719077191,-19.0323551101268,9.20225309292753e-81,1.01553435918379e-77,2210.62509226061,64.8179930298913,1954.81208473061,39.6723336095615
"15","RRAGD",2449.48042829416,4.34664306197995,0.231425369714734,18.7820508500768,1.05909231098709e-78,1.0908650803167e-75,251.887958719734,4052.4209242288,208.03730624652,5285.57552398157
"16","B3GNT5",826.780112625016,8.16057913392871,0.435950882698543,18.7190333998513,3.46379763844105e-78,3.34472959461964e-75,4.4036356419534,1510.69135755,6.77044487784533,1785.25501243027
"17","TIGIT",935.428727563477,-6.28525627851801,0.35122010848563,-17.8954909661021,1.27864950390467e-71,1.16206675501924e-68,1387.14522721532,29.3841568402174,2306.87521837857,18.3103078197976
"18","TP73",763.199513517078,-4.65053703049724,0.261218015441159,-17.8032783177039,6.66505167666364e-71,5.72083602246962e-68,1563.29065289346,60.4967934945652,1372.55382523592,56.4567824443759
"19","CLCN5",4362.69964141911,4.18876138420766,0.236649394459355,17.7002835514422,4.17201380310448e-70,3.39250596094549e-67,385.758482235118,7107.50899570434,520.0932656163,9437.43782212068
"20","SOCS1",2900.03560149962,4.27996771323394,0.247135530118081,17.318301869379,3.42310956451594e-67,2.64435213858856e-64,344.364307200756,5057.53193614565,225.271165935581,5972.97499671648
"21","PADI2",694.152379762998,-7.83655831272478,0.45270240205763,-17.3106179183188,3.91194113771404e-67,2.87807097988961e-64,1256.7976122135,3.45695962826087,1507.96272279282,8.39222441740723
"22","GLDC",1131.15648525261,3.96559405755623,0.234181120857014,16.9338759804533,2.53147778204658e-64,1.77778780602816e-61,119.778889461132,2122.57321175217,151.411767268177,2130.86207252895
"23","RNF125",2803.07411257127,3.55595086828532,0.212962465693234,16.69754741386,1.36563928039852e-62,9.17353342702486e-60,447.409381222465,4564.91518911848,431.461987215416,5768.50989272874
"24","BCL6",6848.95382317717,3.38733625886132,0.204600818182459,16.5558294876444,1.45324699865447e-61,9.35527755383817e-59,1131.73435998202,11090.7907273679,1257.45626231255,13915.8339430462
"25","C10orf128",3184.87376498699,3.29832517200553,0.203547359736786,16.2042149614257,4.7086143367344e-59,2.90992366010186e-56,601.536628690834,5251.98591523532,574.256824639063,6311.71569138273
"26","SLC41A1",5755.87218301146,2.90263066206265,0.182906924541384,15.8694410796127,1.03155392324358e-56,6.1298108131205e-54,1376.57650167463,10334.5808086859,1339.31709583558,9973.01432584976
"27","FLJ23867",585.65055102559,4.93549955367621,0.311652716421524,15.8365362906086,1.74153167515258e-56,9.96543125226197e-54,28.1832681085017,1006.83949173098,44.9311341893372,1262.64831007354
"28","EEPD1",475.540352163621,4.65888915272694,0.295694371540885,15.7557586519119,6.27023646402056e-56,3.45982690603992e-53,39.6327207775806,870.289586414674,33.2367294003316,959.002372061899
"29","CLEC4A",684.492686473003,5.01974633586134,0.320885813190174,15.6434037577297,3.68493694910611e-55,1.96318192633412e-52,31.7061766220645,1071.65748476087,49.2395991116024,1585.36748539748
"30","BMP8A",747.733803335677,4.48492142151995,0.289765960486397,15.4777373228782,4.90420518860647e-54,2.52566567213233e-51,79.2654415551611,1562.54575197391,49.8550941004974,1299.26892571314
