"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-42","s-52","s-82","s-92"
"68","ST8SIA4",7186.676628946,2.05608555431643,0.224865162229637,9.14363760899835,6.03861802890313e-20,1.18996296451915e-17,2442.48825033692,11854.5598360147,3124.96688283115,11324.6915466012
"69","GZMB",1514.25820691839,12.0941085561743,1.32614797427818,9.11972780621043,7.5313244586575e-20,1.4580471716462e-17,0,3211.92936790514,0.940405321345515,2844.16305444707
"70","SLC25A19",1540.51465026744,2.16568746975582,0.237504623865192,9.11850655583474,7.61666432949507e-20,1.4580471716462e-17,542.527097652533,2457.70530840154,579.289677948837,2582.53651706684
"71","ALOX5AP",705.701442338813,-2.91377516456313,0.320483242899028,-9.09181752595143,9.73970541850732e-20,1.83819792405631e-17,1232.40723417365,142.496530326063,1259.20272528164,188.699279573892
"72","SLC41A1",2763.45303810454,2.22720856063365,0.245168520023515,9.08439860231661,1.04273537175762e-19,1.94064638632668e-17,893.048720415691,4998.17375310357,1049.49233862159,4113.0973402773
"73","KLHL14",2300.5351572601,-2.4635214216195,0.271312283166896,-9.08002171101146,1.08553196562922e-19,1.99262032047008e-17,3844.57474138955,825.472324666637,3945.94072836578,586.152834618418
"74","FCGBP",540.549636949819,-3.70072174090961,0.410002826380764,-9.02608836523678,1.77917890156679e-19,3.22175638932364e-17,879.652989609456,95.7173663301331,1128.48638561462,58.341806245068
"75","METTL7A",1505.80128448667,-2.25887866716228,0.251232006891384,-8.99120575882222,2.44532774083558e-19,4.36357385303706e-17,2681.37878304811,493.700100018581,2301.17182133247,546.954433547513
"76","PDE4B",5951.03991092274,-1.8780434386915,0.208906249922871,-8.98988632166286,2.47486278231953e-19,4.36357385303706e-17,10109.3115151056,2462.02338507809,8604.70869031146,2628.1160531958
"77","SLC37A3",1317.58264546957,3.77575677888022,0.421671632612359,8.95425844866177,3.42026745414706e-19,5.9521537513728e-17,116.09633365404,1961.84617004468,237.922546300415,2954.46553187915
"78","G6PD",4112.83551677088,1.85488923415183,0.208241083716543,8.90741250980381,5.22373978653536e-19,8.97411706917614e-17,1841.91298585736,6811.76595725346,1722.82254870498,6074.84057526771
"79","FAM111B",1085.95816807552,-3.32204452570114,0.374001128306669,-8.88244519673525,6.54064722883263e-19,1.10942623881465e-16,1417.71484365991,188.556014875901,2530.63071974078,206.931094025476
"80","MIR155HG",5558.03515253433,2.608809824997,0.294866462028661,8.84742811050318,8.95592905812925e-19,1.50011811723665e-16,1482.46087589005,11771.0770202681,1647.59012299734,7331.01259098183
"81","ABCG1",239.523594548206,-4.45270832316364,0.504631230164936,-8.82368759006115,1.10750922915092e-18,1.83217576180522e-16,433.12862940161,25.1887806131929,483.368335171595,16.4086330064254
