"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"CALHM3",3.17531159195287,-0.292607166689715,-0.292607166689715,-0.292607166689715,-0.274568584251202,-0.292607166689715,-0.292607166689715,-0.267278507494234,-0.292607166689715,-0.292607166689715,-0.292607166689715,-0.292607166689715
"SHANK2",-0.990031182001145,0.0884786918320504,-0.809636196185785,-0.990031182001145,0.865267769323276,0.169412177535275,1.85723316011163,-0.664394210498467,-0.267009260219219,1.7577951076564,-0.630700908986049,-0.386383966566817
"MGC50722",1.82249954418106,0.912438900884054,1.19304289040105,0.421039264612304,0.930399402143814,-0.54574348026707,-0.902229733207799,-0.781263042736491,-0.896488364595679,-0.988527521701961,-0.897043558478354,-0.268124301234926
"SLC47A1",-1.03475327564955,-0.649960744038447,-0.0996167885282228,-1.03475327564955,-0.232537545430462,1.39349014161683,-0.921135612093465,1.15462954603846,0.425002239152849,-0.931000460452067,1.78311497294838,0.147520802085232
"CHRNA2",3.1752491264401,-0.292001181386094,-0.292001181386094,-0.292001181386094,-0.255237312579157,-0.292001181386094,-0.292001181386094,-0.292001181386094,-0.292001181386094,-0.292001181386094,-0.292001181386094,-0.292001181386094
"HRH1",-0.890994966566898,-0.84924877570387,-0.527899744216815,-0.890994966566898,-0.745123615194993,-0.890994966566898,-0.038180441266061,1.07531071602329,1.65575076179647,1.18304258174628,1.27876221578197,-0.359428799265576
"LOC100287072",2.96235424165765,0.105112585093537,-0.182690850435211,-0.413386126568358,0.175899705524441,-0.453512892838861,-0.750803432284623,-0.0284926435938633,0.223909648129866,-0.880574318428177,-0.160592546847517,-0.597223369408885
"GNAI1",-0.960584780648003,-0.836355457862513,-0.420331015613523,-0.794775881885999,-0.591610414434213,-0.729095109061487,-0.0215891396726526,0.563212075920518,-0.0944513597446989,2.51114891617014,0.922653165335986,0.451779001496442
"LAMP5",2.87591986276815,-0.546027436377367,-0.622701891737851,-0.295222183174666,-0.461950366562738,-0.408388425812562,-0.622701891737851,-0.246506348084597,-0.355412709006229,-0.5168867155994,0.683542643542031,0.516335461783078
"CSDC2",3.17542648054294,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813
"LINC00622",3.17215215279964,-0.312387150339666,-0.250117843491635,-0.312387150339666,-0.312387150339666,-0.312387150339666,-0.312387150339666,-0.312387150339666,-0.162642165904101,-0.312387150339666,-0.312387150339666,-0.260294940686576
"MIR4525",3.1692766556165,-0.319822568178169,-0.132770187973454,-0.319822568178169,-0.319822568178169,-0.186241225281212,-0.319822568178169,-0.291684696936478,-0.319822568178169,-0.319822568178169,-0.319822568178169,-0.319822568178169
"SYNC",3.16486507325092,-0.312378124031284,-0.341192152141794,-0.341192152141794,-0.341192152141794,-0.233807683566624,-0.341192152141794,-0.11499511858926,-0.140299221408738,-0.341192152141794,-0.316232012804247,-0.341192152141794
"UBE2Q1-AS1",3.17424785789692,-0.303421563464135,-0.303421563464135,-0.303421563464135,-0.303421563464135,-0.250164063844866,-0.303421563464135,-0.219284476964487,-0.303421563464135,-0.303421563464135,-0.303421563464135,-0.277426809374482
"ARC",2.75092981201488,-0.142976264743335,1.09993412482565,-0.66153280996077,-0.403578874445712,-0.238482929848026,-0.663714962417193,-0.190903753129381,-0.132009519749987,-0.7597741557338,-0.687175052782683,0.0292843859703621
