"","cluster","cluster_col"
"KIAA1549L","C5","#B8B29F"
"SHOX2","C5","#B8B29F"
"MIR532","C5","#B8B29F"
"CRISPLD1","C5","#B8B29F"
"NKG7","C5","#B8B29F"
"LOC101927482","C5","#B8B29F"
"EEPD1","C5","#B8B29F"
"RAB19","C5","#B8B29F"
"LMO2","C5","#B8B29F"
"RASL11A","C5","#B8B29F"
"CADM3","C5","#B8B29F"
"PALLD","C5","#B8B29F"
"CLCN5","C5","#B8B29F"
"B3GNT5","C5","#B8B29F"
"MAOA","C5","#B8B29F"
"SUCNR1","C5","#B8B29F"
"DHRS9","C5","#B8B29F"
"TSPAN7","C5","#B8B29F"
"SDC2","C5","#B8B29F"
"ZBTB8A","C5","#B8B29F"
"APCDD1","C5","#B8B29F"
"FAM132B","C5","#B8B29F"
"KLHL30","C5","#B8B29F"
"HECW2","C5","#B8B29F"
"MOB3C","C5","#B8B29F"
"GAS6-AS2","C5","#B8B29F"
"TMPRSS15","C5","#B8B29F"
"STYK1","C5","#B8B29F"
"SMAD1","C5","#B8B29F"
"BMP8A","C5","#B8B29F"
"SLC8A1","C5","#B8B29F"
"CHRDL1","C5","#B8B29F"
"CGNL1","C5","#B8B29F"
"RAB6B","C5","#B8B29F"
"ZNF488","C5","#B8B29F"
"GBA3","C5","#B8B29F"
"FAM171B","C5","#B8B29F"
"ADGRA3","C5","#B8B29F"
"CSMD1","C5","#B8B29F"
"MIR501","C5","#B8B29F"
"RGS9","C5","#B8B29F"
"ENPP3","C5","#B8B29F"
"LINC01013","C5","#B8B29F"
"STRIP2","C5","#B8B29F"
"KLRC1","C5","#B8B29F"
"SH3RF3","C5","#B8B29F"
"LINC01478","C5","#B8B29F"
"XIRP1","C5","#B8B29F"
"GLUD1P7","C5","#B8B29F"
"HSD11B1","C5","#B8B29F"
"ALOX15","C5","#B8B29F"
"CLEC10A","C5","#B8B29F"
"MRO","C5","#B8B29F"
"NGEF","C5","#B8B29F"
"KCNK12","C5","#B8B29F"
"LOC100129316","C5","#B8B29F"
"PDCD1LG2","C5","#B8B29F"
"PAK3","C5","#B8B29F"
"MYO7A","C6","#F6B762"
"C16orf74","C6","#F6B762"
"MEGF6","C6","#F6B762"
"GIMAP8","C6","#F6B762"
"ITK","C6","#F6B762"
"COL8A2","C6","#F6B762"
"CXCL8","C6","#F6B762"
"ITGB8","C6","#F6B762"
"MIR641","C6","#F6B762"
"FCAR","C6","#F6B762"
"MARC2","C6","#F6B762"
"CYP27A1","C6","#F6B762"
"MMP2","C6","#F6B762"
"KCNJ5","C6","#F6B762"
"TMEM119","C6","#F6B762"
"PTGDS","C6","#F6B762"
"CDA","C6","#F6B762"
"CHI3L1","C6","#F6B762"
"MMP9","C6","#F6B762"
"CCL2","C6","#F6B762"
"FCN1","C6","#F6B762"
"C3","C6","#F6B762"
"FSIP2","C6","#F6B762"
"SRMS","C6","#F6B762"
"ABCA9","C6","#F6B762"
"C1orf95","C6","#F6B762"
"MDS2","C6","#F6B762"
"CATIP-AS1","C6","#F6B762"
"RBM20","C6","#F6B762"
"LINC00243","C6","#F6B762"
"SLC29A4","C7","#C7D267"
"WNT10A","C7","#C7D267"
"LINC00996","C7","#C7D267"
"CD5","C7","#C7D267"
"PPM1J","C7","#C7D267"
"ARHGEF40","C7","#C7D267"
"ZNF704","C7","#C7D267"
"CYB5R2","C7","#C7D267"
"PDCD1","C7","#C7D267"
"TRIM36","C7","#C7D267"
"ASMT","C8","#CDD796"
"SLC24A4","C8","#CDD796"
"NSG1","C8","#CDD796"
"CFAP46","C8","#CDD796"
"CCDC68","C8","#CDD796"
"LINC00377","C8","#CDD796"
"POU5F1","C8","#CDD796"
"LOC100131289","C8","#CDD796"
"ABCA6","C8","#CDD796"
"EML6","C8","#CDD796"
"LOC339260","C8","#CDD796"
"CDH23","C8","#CDD796"
"PDZD2","C8","#CDD796"
"CYBRD1","C8","#CDD796"
"ARHGAP44","C8","#CDD796"
"CNTNAP1","C8","#CDD796"
"TMPRSS6","C8","#CDD796"
"MYOCD","C8","#CDD796"
"MRC2","C8","#CDD796"
"SCNN1G","C8","#CDD796"
"LOC101929450","C8","#CDD796"
"BTBD19","C8","#CDD796"
"ALS2CL","C8","#CDD796"
"RASA4B","C8","#CDD796"
"WWC1","C9","#FCCDE5"
"TIGIT","C9","#FCCDE5"
"FRMPD1","C9","#FCCDE5"
"IPCEF1","C9","#FCCDE5"
"IL12B","C9","#FCCDE5"
"GRIN2D","C9","#FCCDE5"
"HACD1","C9","#FCCDE5"
"CNKSR3","C9","#FCCDE5"
"LTK","C9","#FCCDE5"
"GRIK4","C9","#FCCDE5"
"LINC01268","C9","#FCCDE5"
"LMCD1","C9","#FCCDE5"
"DNASE1L3","C9","#FCCDE5"
"CABLES1","C9","#FCCDE5"
"ERICH3","C9","#FCCDE5"
"TMEM132A","C9","#FCCDE5"
